No.,EPC,Count,RSSI,Phase_begin,Phase_end,Antenna,Freq(khz),Times
1,E280689000005009F928491D,26605,71,0.000,0.000,8,0,2025-12-14 05:30:35.005
2,E2806894000050345BE43A5A,6,67,0.000,0.000,8,0,2025-12-14 05:31:16.149
3,E2806894000040345BE43E05,2,71,0.000,0.000,8,0,2025-12-14 05:31:50.655
4,E280689000004009F92848B4,110,61,0.000,0.000,8,0,2025-12-14 05:32:12.842
5,E280689000004009F9284CFB,1,67,0.000,0.000,8,0,2025-12-14 05:32:15.666
6,E2806894000040345BE45CC8,176,70,0.000,0.000,8,0,2025-12-14 05:33:06.617
7,E2806894000040345BE43E33,43,76,0.000,0.000,8,0,2025-12-14 05:33:07.671
8,E2806894000050345BE444FC,12,72,0.000,0.000,1,0,2025-12-14 05:33:15.548
9,E2806894000040345BE43DF6,9,69,0.000,0.000,8,0,2025-12-14 05:34:13.080
10,E2806894000050345BE43A4E,28,71,0.000,0.000,3,0,2025-12-14 05:34:19.512
11,E2806894000050345BE3B8B0,3,67,0.000,0.000,8,0,2025-12-14 05:34:22.196
12,E2806894000050345BE4599A,13,69,0.000,0.000,8,0,2025-12-14 05:34:24.825
13,E2806894000050345BE45CBE,159,65,0.000,0.000,3,0,2025-12-14 05:35:16.964
14,E2806894000040345BE44476,14,68,0.000,0.000,8,0,2025-12-14 05:35:20.527
15,E2806894000040345BE45859,8,72,0.000,0.000,8,0,2025-12-14 05:35:38.535
16,E2806894000040345BE45CEA,16,78,0.000,0.000,8,0,2025-12-14 05:35:42.278
17,E2806894000040345BE439B9,21,69,0.000,0.000,8,0,2025-12-14 05:35:56.777
18,E2806894000050345BE4388A,25,68,0.000,0.000,3,0,2025-12-14 05:36:11.912
19,E2806894000040345BE4447F,23,81,0.000,0.000,1,0,2025-12-14 05:36:21.970
20,E2806894000040345BE3B526,9,69,0.000,0.000,8,0,2025-12-14 05:36:34.548
21,E2806894000050345BE45489,14,70,0.000,0.000,1,0,2025-12-14 05:36:37.857
22,E2806894000040345BE439DF,20,73,0.000,0.000,1,0,2025-12-14 05:36:39.235
23,E2806894000050345BE439FA,2,67,0.000,0.000,2,0,2025-12-14 05:36:44.598
24,E2806894000050345BE45C88,29,72,0.000,0.000,1,0,2025-12-14 05:36:46.789
25,E2806894000050345BE44C1C,9,66,0.000,0.000,8,0,2025-12-14 05:37:07.626
26,E2806894000040345BE45842,13,72,0.000,0.000,8,0,2025-12-14 05:37:14.311
27,E2806894000050345BE45C47,11,73,0.000,0.000,1,0,2025-12-14 05:37:24.508
28,E2806894000050345BE464D0,64,68,0.000,0.000,8,0,2025-12-14 05:37:31.192
29,E2806894000040345BE454BD,24,65,0.000,0.000,8,0,2025-12-14 05:37:43.008
30,E2806894000040345BE44C66,16,75,0.000,0.000,1,0,2025-12-14 05:37:53.082
31,E2806894000050345BE45470,16,74,0.000,0.000,8,0,2025-12-14 05:37:58.838
32,E2806894000040345BE3B91F,51,64,0.000,0.000,8,0,2025-12-14 05:38:17.525
33,E2806894000040345BE43E3F,6,74,0.000,0.000,1,0,2025-12-14 05:38:28.407
34,E2806894000040345BE45CA2,7,76,0.000,0.000,8,0,2025-12-14 05:38:28.904
35,E2806894000040345BE3B47B,2,80,0.000,0.000,8,0,2025-12-14 05:38:28.904
36,E2806894000040345BE43871,23,65,0.000,0.000,8,0,2025-12-14 05:38:28.906
37,E280689000005009F9284911,27,67,0.000,0.000,8,0,2025-12-14 05:38:30.961
38,E2806894000040345BE4602F,31,67,0.000,0.000,1,0,2025-12-14 05:38:39.715
39,E2806894000040345BE44491,14,79,0.000,0.000,8,0,2025-12-14 05:38:48.342
40,E2806894000040345BE45CFB,9,81,0.000,0.000,8,0,2025-12-14 05:38:52.778
41,E2806894000040345BE45C1A,123,68,0.000,0.000,3,0,2025-12-14 05:39:21.662
42,431004466701648000004360,536,63,0.000,0.000,3,0,2025-12-14 05:39:21.664
43,E2806894000040345BE4452B,21,75,0.000,0.000,8,0,2025-12-14 05:39:34.096
44,E2806894000050345BE45832,20,66,0.000,0.000,8,0,2025-12-14 05:39:35.164
45,E2806894000050345BE44488,20,68,0.000,0.000,8,0,2025-12-14 05:39:42.599
46,E2806894000050345BE444F9,17,83,0.000,0.000,1,0,2025-12-14 05:39:57.985
47,E2806894000040345BE46029,17,73,0.000,0.000,1,0,2025-12-14 05:40:02.617
48,E2806894000050345BE45480,26,69,0.000,0.000,8,0,2025-12-14 05:40:09.606
49,E2806894000050345BE45CA5,15,66,0.000,0.000,8,0,2025-12-14 05:40:17.110
50,E2806894000050345BE3B85B,26,69,0.000,0.000,2,0,2025-12-14 05:40:25.919
51,E2806894000040345BE464DD,18,74,0.000,0.000,1,0,2025-12-14 05:40:29.042
52,E2806894000050345BE438FD,20,73,0.000,0.000,8,0,2025-12-14 05:40:39.298
53,E2806894000050345BE3B85E,22,69,0.000,0.000,1,0,2025-12-14 05:40:40.231
54,E2806894000040345BE4455F,7,71,0.000,0.000,1,0,2025-12-14 05:40:41.295
55,E2806894000040345BE454E8,11,83,0.000,0.000,8,0,2025-12-14 05:40:43.543
56,E2806894000050345BE45CE4,312,74,0.000,0.000,1,0,2025-12-14 05:40:44.858
57,E2806894000040345BE44473,13,69,0.000,0.000,8,0,2025-12-14 05:40:54.361
58,E2806894000040345BE3B934,12,75,0.000,0.000,1,0,2025-12-14 05:40:55.918
59,E2806894000050345BE3B544,24,73,0.000,0.000,1,0,2025-12-14 05:41:07.047
60,E2806894000040345BE44820,26,77,0.000,0.000,8,0,2025-12-14 05:41:09.358
61,E2806894000040345BE45CAD,11,65,0.000,0.000,8,0,2025-12-14 05:41:17.422
62,E2806894000050345BE3B83D,18,74,0.000,0.000,8,0,2025-12-14 05:41:19.743
63,E2806894000050345BE45C12,19,65,0.000,0.000,8,0,2025-12-14 05:41:22.368
64,E2806894000050345BE45CB8,12,67,0.000,0.000,8,0,2025-12-14 05:41:36.928
65,E2806894000040345BE46519,10,84,0.000,0.000,1,0,2025-12-14 05:41:37.425
66,E2806894000050345BE45D15,17,68,0.000,0.000,8,0,2025-12-14 05:41:42.050
67,E2806894000050345BE46059,25,65,0.000,0.000,8,0,2025-12-14 05:41:43.310
68,E2806894000050345BE45816,15,68,0.000,0.000,1,0,2025-12-14 05:41:51.247
69,E2806894000040345BE44467,7,66,0.000,0.000,8,0,2025-12-14 05:41:52.619
70,E2806894000040345BE43896,12,71,0.000,0.000,8,0,2025-12-14 05:41:53.427
71,E2806894000050345BE45D2F,15,64,0.000,0.000,8,0,2025-12-14 05:41:54.500
72,E2806894000050345BE45CF0,34,66,0.000,0.000,3,0,2025-12-14 05:42:02.869
73,E2806894000050345BE45D34,7,66,0.000,0.000,8,0,2025-12-14 05:42:08.621
74,E2806894000050345BE45CE2,8,71,0.000,0.000,1,0,2025-12-14 05:42:14.558
75,E2806894000040345BE3B4A0,11,69,0.000,0.000,8,0,2025-12-14 05:42:38.620
76,E2806894000050345BE454B0,33,74,0.000,0.000,8,0,2025-12-14 05:42:39.382
77,E2806894000050345BE3B4E3,16,75,0.000,0.000,8,0,2025-12-14 05:42:39.945
78,E2806894000050345BE438EC,17,71,0.000,0.000,8,0,2025-12-14 05:42:46.933
79,E2806894000040345BE44C11,254,67,0.000,0.000,3,0,2025-12-14 05:42:50.436
80,E2806894000050345BE44C13,234,68,0.000,0.000,3,0,2025-12-14 05:42:50.697
81,E2806894000050345BE45542,8,75,0.000,0.000,8,0,2025-12-14 05:42:56.503
82,E2806894000050345BE45CCA,256,71,0.000,0.000,8,0,2025-12-14 05:43:01.693
83,E2806894000050345BE454C2,11,71,0.000,0.000,8,0,2025-12-14 05:43:06.501
84,E2806894000050345BE3B4EC,9,82,0.000,0.000,8,0,2025-12-14 05:43:11.438
85,E2806894000050345BE3B4F8,78,67,0.000,0.000,8,0,2025-12-14 05:43:38.066
86,E2806894000050345BE444D1,11,75,0.000,0.000,8,0,2025-12-14 05:43:40.131
87,E2806894000040345BE464D7,12,74,0.000,0.000,3,0,2025-12-14 05:43:42.255
88,E28068940000502A32A62085,17,65,0.000,0.000,3,0,2025-12-14 05:43:42.512
89,E2806894000050345BE44869,17,77,0.000,0.000,8,0,2025-12-14 05:43:42.633
90,E2806894000040345BE464F0,23,67,0.000,0.000,3,0,2025-12-14 05:43:43.381
91,E2806894000050345BE44811,488,67,0.000,0.000,3,0,2025-12-14 05:43:43.756
92,E2806894000040345BE45817,12,79,0.000,0.000,1,0,2025-12-14 05:43:45.950
93,E2806894000040345BE454FA,25,69,0.000,0.000,1,0,2025-12-14 05:43:46.323
94,E2806894000040345BE45D3C,15,63,0.000,0.000,3,0,2025-12-14 05:43:50.388
95,E2806894000050345BE45410,15,69,0.000,0.000,2,0,2025-12-14 05:43:56.580
96,E2806894000050345BE44442,10,69,0.000,0.000,8,0,2025-12-14 05:43:57.893
97,E2806894000050345BE44C40,13,78,0.000,0.000,8,0,2025-12-14 05:43:58.197
98,E2806894000040345BE45010,22,68,0.000,0.000,8,0,2025-12-14 05:44:00.444
99,E2806894000040345BE454AC,15,67,0.000,0.000,8,0,2025-12-14 05:44:01.830
100,E2806894000050345BE4601B,8,76,0.000,0.000,8,0,2025-12-14 05:44:01.832
101,E2806894000040345BE464E1,11,74,0.000,0.000,8,0,2025-12-14 05:44:03.446
102,E2806894000050345BE454E6,13,78,0.000,0.000,8,0,2025-12-14 05:44:08.451
103,E2806894000040345BE46513,235,64,0.000,0.000,8,0,2025-12-14 05:44:15.207
104,E2806894000050345BE4390C,93,70,0.000,0.000,8,0,2025-12-14 05:44:23.704
105,E2806894000040345BE45C76,21,68,0.000,0.000,8,0,2025-12-14 05:44:25.016
106,E2806894000050345BE45431,24,83,0.000,0.000,8,0,2025-12-14 05:44:28.890
107,E2806894000050345BE3B870,9,67,0.000,0.000,8,0,2025-12-14 05:44:32.519
108,E2806894000050345BE44C6B,142,71,0.000,0.000,8,0,2025-12-14 05:44:35.834
109,E2806894000050345BE3B50A,35,70,0.000,0.000,8,0,2025-12-14 05:44:36.394
110,E2806894000050345BE3B4C1,22,68,0.000,0.000,8,0,2025-12-14 05:44:39.202
111,E2806894000040345BE3B52C,17,70,0.000,0.000,8,0,2025-12-14 05:44:44.331
112,E2806894000050345BE4454F,11,68,0.000,0.000,8,0,2025-12-14 05:44:49.273
113,E2806894000050345BE4583D,5,78,0.000,0.000,8,0,2025-12-14 05:44:50.208
114,E2806894000040345BE454B4,18,69,0.000,0.000,8,0,2025-12-14 05:44:53.389
115,E2806894000050345BE4389B,18,71,0.000,0.000,8,0,2025-12-14 05:44:56.594
116,E2806894000040345BE45D30,6,77,0.000,0.000,8,0,2025-12-14 05:44:56.893
117,E2806894000040345BE44C48,23,63,0.000,0.000,3,0,2025-12-14 05:44:57.202
118,E2806894000040345BE4503D,9,71,0.000,0.000,8,0,2025-12-14 05:44:58.077
119,E2806894000050345BE4443C,25,64,0.000,0.000,3,0,2025-12-14 05:45:00.141
120,E2806894000050345BE454FE,20,76,0.000,0.000,1,0,2025-12-14 05:45:10.143
121,E2806894000050345BE44421,14,70,0.000,0.000,8,0,2025-12-14 05:45:11.775
122,E2806894000040345BE45C7C,13,80,0.000,0.000,8,0,2025-12-14 05:45:13.520
123,E2806894000050345BE439EB,5,76,0.000,0.000,1,0,2025-12-14 05:45:14.018
124,E2806894000050345BE454D6,9,74,0.000,0.000,8,0,2025-12-14 05:45:17.280
125,E2806894000040345BE4548B,23,75,0.000,0.000,8,0,2025-12-14 05:45:19.455
126,E2806894000050345BE44C58,12,77,0.000,0.000,1,0,2025-12-14 05:45:19.898
127,E2806894000050345BE45CAA,14,78,0.000,0.000,1,0,2025-12-14 05:45:27.206
128,E2806894000040345BE454DD,16,71,0.000,0.000,8,0,2025-12-14 05:45:34.834
129,E2806894000040345BE45448,11,66,0.000,0.000,8,0,2025-12-14 05:45:37.539
